gene_id	accession	gene_start	gene_end	query_id	query_desc
ATCC8482_final|contig00001|1_1	PF13614.12	971	1765	AAA_31  [M=177]	
ATCC8482_final|contig00001|1_1	PF02374.21	971	1765	ArsA_ATPase  [M=305]	
ATCC8482_final|contig00001|1_1	PF01656.29	971	1765	CbiA  [M=125]	
ATCC8482_final|contig00001|1_1	PF09140.17	971	1765	MipZ  [M=262]	
ATCC8482_final|contig00001|1_1	PF10609.15	971	1765	ParA  [M=246]	
ATCC8482_final|contig00001|1_4	PF02534.20	4181	6217	T4SS-DNA_transf  [M=468]	
ATCC8482_final|contig00001|1_4	PF12696.13	4181	6217	TraG-D_C  [M=126]	
ATCC8482_final|contig00001|1_4	PF10412.15	4181	6217	TrwB_AAD_bind  [M=387]	
ATCC8482_final|contig00001|1_6	PF00004.35	6939	8243	AAA  [M=131]	
ATCC8482_final|contig00001|1_6	PF07728.20	6939	8243	AAA_5  [M=139]	
ATCC8482_final|contig00001|1_6	PF02954.25	6939	8243	HTH_8  [M=42]	
ATCC8482_final|contig00001|1_6	PF00072.30	6939	8243	Response_reg  [M=111]	
ATCC8482_final|contig00001|1_6	PF00158.32	6939	8243	Sigma54_activat  [M=168]	
ATCC8482_final|contig00001|1_6	PF14532.12	6939	8243	Sigma54_activ_2  [M=138]	
ATCC8482_final|contig00001|1_7	PF00512.31	8188	10563	HisKA  [M=66]	
ATCC8482_final|contig00001|1_7	PF00072.30	8188	10563	Response_reg  [M=111]	
ATCC8482_final|contig00001|1_8	PF13401.12	10893	13154	AAA_22  [M=130]	
ATCC8482_final|contig00001|1_8	PF00271.37	10893	13154	Helicase_C  [M=110]	
ATCC8482_final|contig00001|1_8	PF04851.21	10893	13154	ResIII  [M=164]	
ATCC8482_final|contig00001|1_9	PF17293.8	13179	13487	Arm-DNA-bind_5  [M=87]	
ATCC8482_final|contig00001|1_14	PF07944.18	16266	17459	Beta-AFase-like_GH127_cat  [M=376]	
ATCC8482_final|contig00001|1_14	PF07470.19	16266	17459	Glyco_hydro_88  [M=352]	
ATCC8482_final|contig00001|1_16	PF00132.30	18436	18774	Hexapep  [M=36]	
ATCC8482_final|contig00001|1_17	PF13439.12	18844	20025	Glyco_transf_4  [M=170]	
ATCC8482_final|contig00001|1_17	PF13692.12	18844	20025	Glyco_trans_1_4  [M=142]	
ATCC8482_final|contig00001|1_18	PF02350.25	20057	21238	Epimerase_2  [M=347]	
ATCC8482_final|contig00001|1_20	PF01073.25	21650	22804	3Beta_HSD  [M=280]	
ATCC8482_final|contig00001|1_20	PF01370.27	21650	22804	Epimerase  [M=240]	
ATCC8482_final|contig00001|1_20	PF07993.18	21650	22804	NAD_binding_4  [M=258]	
ATCC8482_final|contig00001|1_20	PF02719.21	21650	22804	Polysacc_synt_2  [M=293]	
ATCC8482_final|contig00001|1_21	PF01073.25	22979	24052	3Beta_HSD  [M=280]	
ATCC8482_final|contig00001|1_21	PF01370.27	22979	24052	Epimerase  [M=240]	
ATCC8482_final|contig00001|1_21	PF16363.11	22979	24052	GDP_Man_Dehyd  [M=332]	
ATCC8482_final|contig00001|1_21	PF07993.18	22979	24052	NAD_binding_4  [M=258]	
ATCC8482_final|contig00001|1_22	PF00534.26	24058	25227	Glycos_transf_1  [M=172]	
ATCC8482_final|contig00001|1_22	PF13692.12	24058	25227	Glyco_trans_1_4  [M=142]	
ATCC8482_final|contig00001|1_27	PF13614.12	30591	32969	AAA_31  [M=177]	
ATCC8482_final|contig00001|1_27	PF01656.29	30591	32969	CbiA  [M=125]	
ATCC8482_final|contig00001|1_27	PF09140.17	30591	32969	MipZ  [M=262]	
ATCC8482_final|contig00001|1_28	PF02563.21	33011	33805	Poly_export  [M=77]	
ATCC8482_final|contig00001|1_28	PF22461.2	33011	33805	SLBB_2  [M=79]	
ATCC8482_final|contig00001|1_30	PF02357.24	34961	35509	NusG  [M=93]	
ATCC8482_final|contig00001|1_31	PF17293.8	36006	37229	Arm-DNA-bind_5  [M=87]	
ATCC8482_final|contig00001|1_31	PF00589.27	36006	37229	Phage_integrase  [M=172]	
ATCC8482_final|contig00001|1_31	PF13102.12	36006	37229	Phage_int_SAM_5  [M=98]	
ATCC8482_final|contig00001|1_33	PF13351.11	39972	40247	DUF4099  [M=82]	
ATCC8482_final|contig00001|1_34	PF01131.25	40321	42081	Topoisom_bac  [M=411]	
ATCC8482_final|contig00001|1_34	PF01751.28	40321	42081	Toprim  [M=96]	
ATCC8482_final|contig00002|2_1	PF01073.25	1241	2314	3Beta_HSD  [M=280]	
ATCC8482_final|contig00002|2_1	PF01370.27	1241	2314	Epimerase  [M=240]	
ATCC8482_final|contig00002|2_1	PF16363.11	1241	2314	GDP_Man_Dehyd  [M=332]	
ATCC8482_final|contig00002|2_1	PF07993.18	1241	2314	NAD_binding_4  [M=258]	
ATCC8482_final|contig00002|2_1	PF05368.19	1241	2314	NmrA  [M=236]	
ATCC8482_final|contig00002|2_1	PF08485.16	1241	2314	Polysacc_syn_2C  [M=48]	
ATCC8482_final|contig00002|2_2	PF00534.26	2320	3489	Glycos_transf_1  [M=172]	
ATCC8482_final|contig00002|2_2	PF13692.12	2320	3489	Glyco_trans_1_4  [M=142]	
ATCC8482_final|contig00002|2_4	PF01943.22	4686	6029	Polysacc_synt  [M=274]	
ATCC8482_final|contig00002|2_7	PF13614.12	8899	11265	AAA_31  [M=177]	
